Date;Open;High;Low;Close;minutes
2014.04.01 0:00;0.9266;0.9269;0.9265;0.9268;130975
2014.04.01 0:05;0.9268;0.9268;0.9268;0.9268;130970
2014.04.01 0:10;0.9268;0.9272;0.9268;0.927;130965
2014.04.01 0:15;0.927;0.927;0.927;0.927;130960
2014.04.01 0:20;0.927;0.927;0.9268;0.9268;130955
2014.04.01 0:25;0.9268;0.9269;0.9268;0.9268;130950
2014.04.01 0:30;0.9268;0.927;0.9268;0.9269;130945
2014.04.01 0:35;0.9269;0.9272;0.9269;0.9271;130940
2014.04.01 0:40;0.9271;0.9272;0.9269;0.9272;130935
2014.04.01 0:45;0.9272;0.9272;0.927;0.927;130930
2014.04.01 0:50;0.927;0.9272;0.927;0.9271;130925
2014.04.01 0:55;0.9271;0.9273;0.9271;0.9273;130920
2014.04.01 1:00;0.9273;0.9275;0.9272;0.9273;130915
2014.04.01 1:05;0.9273;0.9275;0.9273;0.9275;130910
2014.04.01 1:10;0.9275;0.9275;0.9272;0.9273;130905
2014.04.01 1:15;0.9273;0.9276;0.9273;0.9275;130900
2014.04.01 1:20;0.9275;0.9275;0.9273;0.9273;130895
2014.04.01 1:25;0.9273;0.9276;0.9271;0.9272;130890
2014.04.01 1:30;0.9272;0.9272;0.9269;0.927;130885
2014.04.01 1:35;0.927;0.9274;0.927;0.9274;130880
2014.04.01 1:40;0.9274;0.9274;0.9269;0.9269;130875
2014.04.01 1:45;0.9269;0.9271;0.9268;0.927;130870
2014.04.01 1:50;0.927;0.9272;0.927;0.9271;130865
2014.04.01 1:55;0.9271;0.9271;0.9268;0.9269;130860
2014.04.01 2:00;0.9269;0.9277;0.9269;0.9277;130855
2014.04.01 2:05;0.9277;0.9277;0.9273;0.9274;130850
2014.04.01 2:10;0.9274;0.9282;0.9274;0.928;130845
2014.04.01 2:15;0.928;0.9283;0.9278;0.9283;130840
2014.04.01 2:20;0.9283;0.9283;0.9278;0.9278;130835
2014.04.01 2:25;0.9278;0.9281;0.9277;0.9281;130830
2014.04.01 2:30;0.9281;0.9281;0.9278;0.9279;130825
2014.04.01 2:35;0.9279;0.928;0.9277;0.9278;130820
2014.04.01 2:40;0.9278;0.9278;0.9272;0.9273;130815
2014.04.01 2:45;0.9273;0.9276;0.9272;0.9274;130810
2014.04.01 2:50;0.9274;0.9276;0.9273;0.9275;130805
2014.04.01 2:55;0.9275;0.9293;0.9273;0.9292;130800
2014.04.01 3:00;0.9292;0.9292;0.9283;0.9286;130795
2014.04.01 3:05;0.9286;0.9288;0.9284;0.9287;130790
2014.04.01 3:10;0.9287;0.9288;0.9277;0.9283;130785
2014.04.01 3:15;0.9283;0.9286;0.9283;0.9284;130780
2014.04.01 3:20;0.9284;0.9285;0.9279;0.9283;130775
2014.04.01 3:25;0.9283;0.9283;0.9277;0.9277;130770
2014.04.01 3:30;0.9277;0.928;0.9277;0.9279;130765
2014.04.01 3:35;0.9279;0.9281;0.9279;0.9281;130760
2014.04.01 3:40;0.928;0.9281;0.9272;0.9272;130755
2014.04.01 3:45;0.9272;0.9273;0.9263;0.9272;130750
2014.04.01 3:50;0.9272;0.9279;0.9272;0.9275;130745
2014.04.01 3:55;0.9275;0.9277;0.9273;0.9277;130740
2014.04.01 4:00;0.9277;0.9283;0.9276;0.9281;130735
2014.04.01 4:05;0.9281;0.9282;0.9279;0.9281;130730
2014.04.01 4:10;0.9281;0.9281;0.9278;0.928;130725
2014.04.01 4:15;0.928;0.9284;0.928;0.9283;130720
2014.04.01 4:20;0.9283;0.9284;0.928;0.9281;130715
2014.04.01 4:25;0.9281;0.9282;0.928;0.9281;130710
2014.04.01 4:30;0.9281;0.9281;0.9278;0.9278;130705
2014.04.01 4:35;0.9278;0.9282;0.9278;0.9281;130700
2014.04.01 4:40;0.9281;0.9284;0.928;0.9283;130695
2014.04.01 4:45;0.9283;0.9283;0.9281;0.9282;130690
2014.04.01 4:50;0.9282;0.9284;0.9281;0.9283;130685
2014.04.01 4:55;0.9283;0.9284;0.9283;0.9284;130680
2014.04.01 5:00;0.9284;0.9285;0.9282;0.9282;130675
2014.04.01 5:05;0.9282;0.9284;0.928;0.9283;130670
2014.04.01 5:10;0.9283;0.9283;0.9281;0.9281;130665
2014.04.01 5:15;0.9281;0.9284;0.9279;0.9284;130660
2014.04.01 5:20;0.9284;0.9285;0.9282;0.9283;130655
2014.04.01 5:25;0.9283;0.9284;0.9279;0.9282;130650
2014.04.01 5:30;0.9282;0.9304;0.9267;0.9271;130645
2014.04.01 5:35;0.9271;0.9277;0.9267;0.9273;130640
2014.04.01 5:40;0.9273;0.9273;0.9264;0.9265;130635
2014.04.01 5:45;0.9265;0.9266;0.9255;0.9264;130630
2014.04.01 5:50;0.9264;0.9269;0.9261;0.9262;130625
2014.04.01 5:55;0.9262;0.9265;0.9262;0.9265;130620
2014.04.01 6:00;0.9265;0.9268;0.9264;0.9267;130615
2014.04.01 6:05;0.9267;0.9269;0.9266;0.9267;130610
2014.04.01 6:10;0.9267;0.9268;0.9266;0.9268;130605
2014.04.01 6:15;0.9268;0.927;0.9268;0.9268;130600
2014.04.01 6:20;0.9268;0.9269;0.9261;0.9263;130595
2014.04.01 6:25;0.9264;0.9266;0.9262;0.9264;130590
2014.04.01 6:30;0.9264;0.9265;0.9264;0.9264;130585
2014.04.01 6:35;0.9264;0.9267;0.9264;0.9266;130580
2014.04.01 6:40;0.9266;0.9267;0.9265;0.9266;130575
2014.04.01 6:45;0.9266;0.9266;0.9256;0.9257;130570
