Date,Open,High,Low,Close,Adj Close,Volume
30/07/2002,81.75,81.900002,81.519997,81.519997,46.108845,6100
31/07/2002,81.949997,82.800003,81.900002,82.529999,46.680107,29400
01/08/2002,82.540001,83.019997,82.540001,83,46.945919,25000
02/08/2002,83.160004,84.099998,82.879997,83.849998,47.426666,52800
05/08/2002,84.040001,84.440002,83.849998,84.220001,47.635971,61100
06/08/2002,83.870003,83.900002,83.220001,83.5,47.228748,64900
07/08/2002,83.599998,84.139999,83.360001,83.699997,47.341866,40300
08/08/2002,83.580002,83.769997,83.360001,83.699997,47.341866,40900
09/08/2002,84,84.879997,84,84.879997,48.009258,35900
12/08/2002,85.300003,86.699997,85.139999,85.400002,48.303421,32100
13/08/2002,85.779999,86.470001,85.370003,86.449997,48.897285,75400
14/08/2002,87.459999,87.900002,86.75,86.779999,49.08392,130000
15/08/2002,86.379997,86.5,85.849998,86.019997,48.654064,87100
16/08/2002,86.440002,86.519997,84.82,85.059998,48.111118,85000
19/08/2002,85.050003,85.339996,84.709999,85.32,48.258141,47300
20/08/2002,85.620003,86.290001,85.599998,86.269997,48.795479,40800
21/08/2002,85.68,86.099998,85.629997,85.809998,48.535305,40000
22/08/2002,85.550003,85.550003,85.059998,85.059998,48.111118,34400
23/08/2002,85.199997,85.949997,85.199997,85.900002,48.586235,20100
26/08/2002,85.699997,86.209999,85.669998,85.980003,48.631466,23900
27/08/2002,85.400002,85.68,85.199997,85.440002,48.32605,301800
28/08/2002,86.040001,86.18,85.839996,85.870003,48.569214,18100
29/08/2002,86.760002,86.860001,86.349998,86.559998,48.959503,135700
30/08/2002,86.75,87.129997,86.449997,87.080002,49.253628,78100
03/09/2002,87.080002,88.040001,87,88.040001,50.010845,102100
04/09/2002,88.029999,88.300003,87.839996,88.019997,49.999485,66300
05/09/2002,88.57,88.650002,87.379997,88.5,50.272156,648400
06/09/2002,87.970001,88.190002,87.199997,87.459999,49.681355,140000
09/09/2002,87.5,87.830002,87.260002,87.330002,49.60754,83800
10/09/2002,87.169998,88,87,87.75,49.846081,336000
11/09/2002,87,87.300003,86.75,87.290001,49.584827,177700
12/09/2002,87.480003,88.139999,87.470001,87.970001,49.971073,43400
13/09/2002,88.330002,88.940002,88.18,88.779999,50.431175,155100
16/09/2002,89.199997,89.220001,88.900002,88.93,50.516376,73000
17/09/2002,88.639999,89.32,88.360001,89.099998,50.612949,75400
18/09/2002,89.160004,89.559998,89.019997,89.120003,50.624329,196600
19/09/2002,89.699997,89.769997,89.260002,89.720001,50.965134,109900
20/09/2002,89.449997,89.519997,89.059998,89.300003,50.726582,113500
23/09/2002,90,90.239998,89.769997,90.099998,51.180988,163200
24/09/2002,90.300003,90.940002,90.209999,90.68,51.510452,251900
25/09/2002,90.099998,90.360001,89.260002,89.580002,50.885654,127200
26/09/2002,89.050003,89.529999,88.610001,89.370003,50.766331,429000
27/09/2002,89.529999,90.040001,89.480003,90.040001,51.146915,298200
