Date,Open,High,Low,Close,Adj Close,Volume
29/01/1993,43.9687,43.9687,43.75,43.9375,27.744318,1003200
01/02/1993,43.9687,44.25,43.9687,44.25,27.941654,480500
02/02/1993,44.2187,44.375,44.125,44.3437,28.000814,201300
03/02/1993,44.4062,44.8437,44.375,44.8125,28.296837,529400
04/02/1993,44.9687,45.0937,44.4687,45,28.415232,531500
05/02/1993,44.9687,45.0625,44.7187,44.9687,28.395464,492100
08/02/1993,44.9687,45.125,44.9062,44.9687,28.395464,596100
09/02/1993,44.8125,44.8125,44.5625,44.6562,28.198141,122100
10/02/1993,44.6562,44.75,44.5312,44.7187,28.237604,379600
11/02/1993,44.7812,45.125,44.7812,44.9375,28.375782,19500
12/02/1993,44.875,44.875,44.5937,44.5937,28.158665,42500
16/02/1993,44.4687,44.4687,43.4062,43.4687,27.448299,374800
17/02/1993,43.4687,43.5312,43.2812,43.4375,27.428606,210900
18/02/1993,43.9375,43.9375,42.8125,43.4062,27.408833,378100
19/02/1993,43.4062,43.5625,43.3437,43.5625,27.507517,34900
22/02/1993,43.6875,43.7812,43.5625,43.7187,27.606142,513600
23/02/1993,43.8437,43.875,43.4687,43.6875,27.586468,373700
24/02/1993,43.7187,44.25,43.7187,44.25,27.941654,26300
25/02/1993,44.2187,44.375,44.125,44.3437,28.000814,44500
26/02/1993,44.4375,44.4375,44.1875,44.4062,28.040277,66200
01/03/1993,44.5625,44.5625,44.2187,44.2812,27.96134,66500
02/03/1993,44.3125,44.9375,44.25,44.9375,28.375782,182400
03/03/1993,45,45.1562,44.9375,45.125,28.494169,280100
04/03/1993,45.1875,45.1875,44.875,44.875,28.336306,89500
05/03/1993,44.9375,45.125,44.7187,44.75,28.257374,40000
08/03/1993,44.8437,45.75,44.8437,45.75,28.888813,50800
09/03/1993,45.6562,45.6875,45.5,45.5937,28.790121,169300
10/03/1993,45.5937,45.6875,45.4062,45.6875,28.849352,194400
11/03/1993,45.7187,45.8437,45.5,45.5625,28.770445,70900
12/03/1993,45.1875,45.2187,44.8125,45.0937,28.474394,643600
15/03/1993,45.0625,45.3125,45.0625,45.3125,28.612566,310800
16/03/1993,45.3125,45.4375,45.3125,45.3125,28.612566,30800
17/03/1993,45.25,45.25,44.9687,45.0312,28.43494,21800
18/03/1993,45.2187,45.5,45.2187,45.3125,28.612566,59300
19/03/1993,45.2812,45.2812,45.0312,45.0312,28.569229,66900
22/03/1993,44.5937,44.875,44.5625,44.7812,28.410629,183400
23/03/1993,44.9062,44.9375,44.8125,44.875,28.470119,55200
24/03/1993,44.8125,45.0625,44.5937,44.875,28.470119,37200
25/03/1993,44.9062,45.25,44.8437,45.1562,28.648542,110100
26/03/1993,45.125,45.1562,44.875,44.9062,28.489922,101500
29/03/1993,44.9375,45.3125,44.9375,45.0937,28.608885,87100
30/03/1993,45.1562,45.2187,45.0937,45.2187,28.688181,56000
31/03/1993,45.3437,45.4687,45.1875,45.1875,28.668377,111600
01/04/1993,45.25,45.25,44.9375,45.0312,28.569229,129500
02/04/1993,44.6562,44.6562,44.0937,44.0937,27.974445,59400
05/04/1993,44.4375,44.4375,44.1875,44.3125,28.113274,172200
06/04/1993,44.4062,44.4062,44.0625,44.1875,28.033953,129700
07/04/1993,44.25,44.3437,44.1562,44.3437,28.133066,28000
08/04/1993,44.5312,44.5312,44.0937,44.2812,28.093414,180800
12/04/1993,44.7187,44.9375,44.6562,44.9062,28.489922,348500
13/04/1993,44.875,45.1562,44.8437,45,28.549438,146100
14/04/1993,45.0312,45.0625,44.9062,44.9375,28.509783,119600
15/04/1993,44.9062,45.0312,44.75,44.9375,28.509783,148600
16/04/1993,44.9687,45.0312,44.875,44.9375,28.509783,47900
19/04/1993,44.9375,45.0625,44.7187,44.75,28.390821,157000
20/04/1993,44.6875,44.75,44.25,44.5312,28.252031,279500
21/04/1993,44.625,44.625,44.375,44.5,28.232233,67900
22/04/1993,44.3125,44.6875,43.9375,43.9375,27.875351,97700
23/04/1993,43.8437,43.9687,43.6875,43.75,27.756399,106000
26/04/1993,43.7812,43.9375,43.2812,43.4062,27.53828,62600
27/04/1993,43.3437,43.875,43.3437,43.875,27.835697,156800
28/04/1993,43.8125,43.9062,43.7187,43.7812,27.776188,85900
29/04/1993,43.875,43.9687,43.625,43.9687,27.89513,85000
30/04/1993,44.125,44.2812,44.0312,44.0312,27.934795,88500
03/05/1993,44.0937,44.3125,43.9062,44.3125,28.113274,80500
04/05/1993,44.4062,44.625,44.3437,44.4687,28.212358,149100
05/05/1993,44.4687,44.75,44.4687,44.5937,28.291668,109000
06/05/1993,44.5312,44.5625,44.4062,44.4375,28.192572,54700
07/05/1993,44.4687,44.4687,44.2812,44.3437,28.133066,68000
10/05/1993,44.4062,44.6875,44.4062,44.4375,28.192572,113900
11/05/1993,44.4375,44.625,44.3125,44.625,28.311535,42600
12/05/1993,44.4375,44.5937,44.4375,44.5625,28.271862,31000
13/05/1993,44.375,44.375,44,44.0312,27.934795,129100
14/05/1993,44.0312,44.1562,43.9687,44,27.914995,63500
17/05/1993,44.125,44.1562,43.9375,44.1562,28.014105,34000
18/05/1993,44.1875,44.2187,43.9687,44.125,27.994307,105200
19/05/1993,44.125,45.0312,43.8437,45.0312,28.569229,50200
20/05/1993,45.0312,45.1562,44.9375,45.1562,28.648542,98200
21/05/1993,45.1875,45.25,44.7187,44.75,28.390821,221400
24/05/1993,44.8437,45.0937,44.8437,44.9375,28.509783,30500
25/05/1993,45.125,45.125,45.0312,45.0312,28.569229,191800
26/05/1993,45.1562,45.625,45.125,45.5937,28.926098,102400
27/05/1993,45.6562,45.6562,45.375,45.4375,28.827005,53800
28/05/1993,45.4062,45.4062,45,45.2187,28.688181,79100
01/06/1993,45.375,45.8125,45.3125,45.6562,28.965744,28300
02/06/1993,45.5312,45.75,45.3437,45.5937,28.926098,20300
03/06/1993,45.5,45.5,45.3437,45.4375,28.827005,21600
04/06/1993,45.3125,45.3125,45.0937,45.2812,28.72784,32000
07/06/1993,45.375,45.375,45.125,45.125,28.628756,121400
08/06/1993,45,45,44.7187,44.7187,28.370962,104500
09/06/1993,44.875,45.0625,44.8125,44.875,28.470119,43300
10/06/1993,44.8437,44.9375,44.75,44.9062,28.489922,17900
11/06/1993,45.0625,45.1562,44.9062,45.0937,28.608885,647400
14/06/1993,45.1562,45.1875,45.0312,45.0312,28.569229,64200
15/06/1993,45.0937,45.125,44.9375,44.9375,28.509783,142400
16/06/1993,44.9375,45.0312,44.8125,45.0312,28.569229,330900
17/06/1993,45.125,45.1875,45.0312,45.1875,28.668377,37400
18/06/1993,44.8437,44.8437,44.5,44.5,28.432316,58500
21/06/1993,44.625,44.625,44.5312,44.5937,28.492178,29300
22/06/1993,44.6562,44.6562,44.5625,44.625,28.512169,137500
23/06/1993,44.625,44.625,44.2187,44.2187,28.252575,227600
24/06/1993,44.3437,44.8125,44.3437,44.8125,28.631971,243700
25/06/1993,44.7812,44.9062,44.75,44.7812,28.611958,44800
28/06/1993,45,45.2812,44.9375,45.2812,28.931429,439900
29/06/1993,45.2187,45.2187,45,45.0625,28.791702,207500
30/06/1993,45.125,45.2187,45,45.0625,28.791702,437600
01/07/1993,45.125,45.125,44.875,44.9375,28.711851,605700
02/07/1993,44.7812,44.8125,44.5312,44.6875,28.552109,285400
06/07/1993,44.625,44.75,44.1562,44.2187,28.252575,246400
07/07/1993,44.1875,44.4062,44.1875,44.3437,28.332457,343700
08/07/1993,44.375,44.9375,44.3125,44.8437,28.651909,248200
09/07/1993,44.8437,44.9687,44.75,44.9687,28.731779,378200
12/07/1993,44.9062,44.9687,44.8437,44.9375,28.711851,373700
13/07/1993,44.9687,45.0937,44.6562,44.9062,28.691847,389600
14/07/1993,44.9375,45.1875,44.9062,45.0625,28.791702,617300
15/07/1993,45.0312,45.0312,44.7812,44.875,28.6719,443800
16/07/1993,44.9062,44.9375,44.6875,44.75,28.592047,216400
19/07/1993,44.75,44.75,44.5937,44.7187,28.572033,188200
20/07/1993,44.6875,44.8437,44.4687,44.8437,28.651909,68500
21/07/1993,44.7812,44.8125,44.6562,44.8125,28.631971,142700
22/07/1993,44.75,44.8125,44.5,44.5,28.432316,632400
23/07/1993,44.5937,44.7187,44.5625,44.7187,28.572033,286200
26/07/1993,44.8437,45.0625,44.8437,44.9687,28.731779,121300
27/07/1993,45,45.0312,44.7812,44.9375,28.711851,92800
28/07/1993,44.8437,44.9375,44.7812,44.8437,28.651909,30800
29/07/1993,44.9375,45.2187,44.875,45.0937,28.811632,331000
30/07/1993,45.0937,45.0937,44.7812,44.8437,28.651909,75300
02/08/1993,44.9062,45.125,44.9062,44.9687,28.731779,41300
03/08/1993,45.0625,45.1875,44.8437,45,28.751764,81600
