Date,CAD,EUR,JPY,KRW,MXN,NOK,PLN,CHF,GBP,USD,,
7-Apr-2016,0.539173,0.806519,0.00649505,0.000613993,0.0396643,0.0853042,0.189692,0.741913,0.999064,0.709714,,
6-Apr-2016,0.543907,0.806292,0.00644264,0.000615816,0.0401198,0.0850879,0.189621,0.740826,1.00082,0.711267,,
5-Apr-2016,0.539336,0.807405,0.00640781,0.000618841,0.0400732,0.0849943,0.190242,0.741137,1.00899,0.710306,,
4-Apr-2016,0.545209,0.808816,0.0063743,0.000618622,0.0407335,0.0857164,0.190781,0.739733,1.01138,0.710735,,
1-Apr-2016,0.543924,0.81128,0.00632493,0.000620059,0.0409406,0.0859399,0.190804,0.73992,1.01382,0.709657,,
31-Mar-2016,0.547232,0.808123,0.00630218,0.000615357,0.0411797,0.0858383,0.188831,0.737852,1.02235,0.709814,,
30-Mar-2016,0.548476,0.805063,0.00631381,0.000611294,0.0412115,0.085373,0.189608,0.737867,1.02424,0.710935,,
29-Mar-2016,0.543487,0.800262,0.00629261,0.000611237,0.0410828,0.0843812,0.187949,0.733836,1.01967,0.714903,,
28-Mar-2016,0.542131,,0.00629731,0.000611207,0.0409338,,,0.731721,,0.714745,,
25-Mar-2016,,,0.00633873,0.000613723,,,0.187635,0.733138,,0.716276,,
24-Mar-2016,0.539927,0.799105,0.00634963,0.000618251,,,0.187351,0.734197,1.01174,0.716429,,
23-Mar-2016,0.541719,0.798985,0.00636383,,0.0408067,0.0847792,0.188169,0.734474,1.01384,0.715231,,
22-Mar-2016,0.546693,0.799964,0.00637328,0.000612279,0.0411563,0.0846791,0.187736,0.735252,1.01979,0.713489,,
21-Mar-2016,0.544553,0.80213,,0.000612827,,0.0849458,0.188085,0.734292,1.02432,0.711676,,
18-Mar-2016,0.54781,0.802125,0.00638964,0.000605506,0.0411091,0.085232,,0.734828,1.02892,0.711167,,
17-Mar-2016,0.547081,0.803454,0.00630228,0.000595565,0.0408156,0.0847811,0.186747,0.733282,1.02025,0.71033,,
16-Mar-2016,0.537566,0.794723,0.00633139,0.000604016,0.0400593,0.0836375,0.185371,0.726873,1.01258,0.718296,,
15-Mar-2016,0.537085,0.797062,0.00630097,0.000604713,0.0400252,0.0840785,0.185643,0.726869,1.01597,0.717492,,
14-Mar-2016,0.539072,0.796775,0.00629304,0.000597108,0.0403278,0.0846372,0.186272,0.725586,1.02795,0.716589,,
11-Mar-2016,0.542516,0.795081,0.00632888,0.000593096,0.0405043,0.08426,0.184288,0.726525,1.02522,0.716935,,
10-Mar-2016,0.538575,0.781961,0.0063569,0.000593032,0.0403266,0.0841487,0.183173,0.721463,1.02324,0.720237,,
9-Mar-2016,0.543707,0.789672,0.00639575,0.000597121,0.0405384,0.0840398,0.182675,0.718572,1.02327,0.71965,,
8-Mar-2016,0.536987,0.792882,0.00636822,0.000598794,0.0401562,0.0840942,0.182791,0.723457,1.02231,0.718972,,
7-Mar-2016,0.542101,0.789765,0.00634168,0.000596648,0.0406165,0.0843915,0.182475,0.721193,1.02057,0.721049,,
4-Mar-2016,0.54019,0.790335,0.00633977,0.000591067,0.0405379,0.0842308,0.182185,0.725822,1.01922,0.720451,,
3-Mar-2016,0.539547,0.788547,0.0063398,0.000586818,0.0404183,0.0836702,0.181729,0.725548,1.0167,0.723371,,
2-Mar-2016,0.537931,0.786501,0.00635513,0.000583838,0.0405735,0.0834747,0.181753,0.72521,1.01435,0.724485,,
1-Mar-2016,0.539661,0.786615,0.00643705,,0.040323,0.0836202,0.181225,0.724248,1.01091,0.723524,,
